<2015-10-1 2:37:2> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:37:14> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:37:20> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:37:32> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:37:44> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:37:50> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:38:2> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:38:14> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:38:20> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:38:32> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:38:44> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:38:50> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:39:2> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:39:14> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
